file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
.github/ISSUE_TEMPLATE/bug_report.md,.github/ISSUE_TEMPLATE/bug_report.md,2026-02-02T18:15:38+08:00,2026-02-02T18:15:38+08:00,1,1,1,0.00,
.github/ISSUE_TEMPLATE/feature_request.md,.github/ISSUE_TEMPLATE/feature_request.md,2026-02-02T18:15:38+08:00,2026-02-02T18:15:38+08:00,1,1,1,0.00,
.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,2026-02-02T18:15:38+08:00,2026-02-02T18:15:38+08:00,1,1,1,0.00,
.github/dependabot.yml,.github/dependabot.yml,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
.github/workflows/bench.yml,.github/workflows/bench.yml,2026-02-03T15:58:15+08:00,2026-02-03T15:58:15+08:00,1,1,1,0.00,
.github/workflows/ci.yml,.github/workflows/ci.yml,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,5,5,1,0.00,
.github/workflows/fuzz.yml,.github/workflows/fuzz.yml,2026-02-03T15:58:15+08:00,2026-02-03T15:58:15+08:00,1,1,1,0.00,
.github/workflows/linter.yml,.github/workflows/linter.yml,2026-02-02T18:15:38+08:00,2026-02-02T21:09:45+08:00,5,5,1,0.00,
.github/workflows/sbom.yml,.github/workflows/sbom.yml,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
.github/workflows/security.yml,.github/workflows/security.yml,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
.github/workflows/vuln.yml,.github/workflows/vuln.yml,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
.golangci.yml,.golangci.yml,2026-02-02T18:15:38+08:00,2026-02-02T21:00:18+08:00,2,2,1,0.00,
CHANGELOG.md,CHANGELOG.md,2026-02-03T15:58:15+08:00,2026-02-03T20:19:26+08:00,2,2,1,0.00,
CONTRIBUTING.md,CONTRIBUTING.md,2026-02-02T18:15:38+08:00,2026-02-02T18:15:38+08:00,1,1,1,0.00,
LICENSE,LICENSE,2026-02-02T18:15:38+08:00,2026-02-02T18:15:38+08:00,1,1,1,0.00,
Makefile,Makefile,2026-02-03T15:58:15+08:00,2026-02-03T20:19:26+08:00,2,2,1,0.00,
README.md,README.md,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,8,8,1,0.00,
RELEASE.md,RELEASE.md,2026-02-03T15:58:15+08:00,2026-02-03T15:58:15+08:00,1,1,1,0.00,
ROADMAP.md,ROADMAP.md,2026-02-02T21:00:18+08:00,2026-02-03T20:19:26+08:00,6,6,1,0.00,
SECURITY.md,SECURITY.md,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
auth/interfaces.go,auth/interfaces.go,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,1.00,auth
benchmarks/README.md,benchmarks/README.md,2026-02-03T15:58:15+08:00,2026-02-03T15:58:15+08:00,1,1,1,0.00,
benchmarks/baseline.txt,benchmarks/baseline.txt,2026-02-03T15:58:15+08:00,2026-02-03T15:58:15+08:00,1,1,1,0.00,
cmd/soak/main.go,cmd/soak/main.go,2026-02-03T15:58:15+08:00,2026-02-03T20:19:26+08:00,2,2,1,0.00,
docs/auth.md,docs/auth.md,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
docs/integrations.md,docs/integrations.md,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
docs/observability.md,docs/observability.md,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
docs/production_checklist.md,docs/production_checklist.md,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
docs/security.md,docs/security.md,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
docs/server.md,docs/server.md,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
go.mod,go.mod,2026-02-02T18:15:38+08:00,2026-02-02T21:40:00+08:00,5,5,1,0.00,
go.sum,go.sum,2026-02-02T18:15:38+08:00,2026-02-02T18:15:38+08:00,1,1,1,0.00,
logger/ringbuffer.go,logger/ringbuffer.go,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,5,5,1,0.00,
logger/ringbuffer_test.go,logger/ringbuffer_test.go,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,2,2,1,0.00,
middleware/access_log.go,middleware/access_log.go,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,7,7,1,0.00,
middleware/body_limit.go,middleware/body_limit.go,2026-02-02T18:15:38+08:00,2026-02-02T18:15:38+08:00,1,1,1,0.00,
middleware/cors.go,middleware/cors.go,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
middleware/logger.go,middleware/logger.go,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
middleware/middleware_test.go,middleware/middleware_test.go,2026-02-02T21:00:18+08:00,2026-02-03T20:19:26+08:00,4,4,1,0.00,
middleware/recovery.go,middleware/recovery.go,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,2,2,1,0.00,
middleware/request_id.go,middleware/request_id.go,2026-02-02T18:15:38+08:00,2026-02-03T15:58:15+08:00,2,2,1,0.00,
middleware/static.go,middleware/static.go,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
middleware/timeout.go,middleware/timeout.go,2026-02-02T18:15:38+08:00,2026-02-02T18:15:38+08:00,1,1,1,0.00,
middleware/trusted_proxy.go,middleware/trusted_proxy.go,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
router/README.md,router/README.md,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,6,6,1,0.00,
router/frozen.go,router/frozen.go,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,7,7,1,0.00,
router/group.go,router/group.go,2026-02-02T21:00:18+08:00,2026-02-02T23:03:09+08:00,4,4,1,0.00,
router/pprof.go,router/pprof.go,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
router/router.go,router/router.go,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,8,8,1,0.00,
router/router_fuzz_test.go,router/router_fuzz_test.go,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,2,2,1,0.00,
router/router_test.go,router/router_test.go,2026-02-02T18:15:38+08:00,2026-02-03T20:19:26+08:00,8,8,1,0.00,
router/serve.go,router/serve.go,2026-02-03T20:19:26+08:00,2026-02-03T20:19:26+08:00,1,1,1,0.00,
router/trie.go,router/trie.go,2026-02-02T18:15:38+08:00,2026-02-02T23:03:09+08:00,4,4,1,0.00,
scripts/bench-compare.sh,scripts/bench-compare.sh,2026-02-03T15:58:15+08:00,2026-02-03T15:58:15+08:00,1,1,1,0.00,
scripts/bench-update.sh,scripts/bench-update.sh,2026-02-03T15:58:15+08:00,2026-02-03T15:58:15+08:00,1,1,1,0.00,
scripts/bench.sh,scripts/bench.sh,2026-02-03T15:58:15+08:00,2026-02-03T15:58:15+08:00,1,1,1,0.00,
scripts/soak.sh,scripts/soak.sh,2026-02-03T15:58:15+08:00,2026-02-03T15:58:15+08:00,1,1,1,0.00,
server/graceful.go,server/graceful.go,2026-02-02T18:15:38+08:00,2026-02-03T16:11:23+08:00,3,3,1,0.00,
server/graceful_test.go,server/graceful_test.go,2026-02-02T21:00:18+08:00,2026-02-03T20:19:26+08:00,2,2,1,0.00,
